customer_id,first_name,last_name,email,ssn,dob,zip,phone,gender
349fe342f5b4,Melissa,Warren,barrettstephanie@example.com,bdde2785db23c855e2ccf979200a35f7a4aaa3d8fa1ba112187591245dd0a235,1963-10-30,REDACTED,001-641-885-3409x336,F
9344292d5bba,Jennifer,Davis,russellcarter@example.org,bd135ab3869bb3c49fb7f1c1c3726276f6c76951492654d7b7b85444f53c1fab,1964-03-12,REDACTED,001-527-354-8808x43515,M
bad96b6fe132,Cody,Price,bauerdalton@example.net,2b3848aece790f14b12fe9dbcc36dfbe5aae477e3a790d46786f54640bc31307,1994-07-28,REDACTED,952-495-8445,F
846f3db13fd3,Michelle,Barber,jacksonwilliams@example.com,4c8420d79fa4fc84f83d95c6274c9a9aa1a0a4fdebb0d4941696af7456925f2f,2000-07-19,REDACTED,998.767.4695x068,F
47c3624306be,Robert,Tate,megan55@example.com,3105e34f46089fc457c0a06e8f2d8ecb6171046e559bf15414b54cc1690943f3,1952-09-12,REDACTED,362-608-4935x6590,F
3736822df8c2,Erik,Klein,jessica60@example.com,71054b24204381c8a94a4dd8026b02c66b4a453e80456f762eab0c4fe2b9a772,1973-01-13,REDACTED,4979983328,X
e39cd01c4f8e,Melissa,Wallace,courtney23@example.com,69aa2413726c452fd2e540481f60e69b26cfb43880f41172ec118a2a0b9d7f05,1967-04-17,REDACTED,780.483.6724,F
4ee6926180c0,Cody,Reyes,ryanhall@example.net,d595f78f83b2b62dcf32f97e694597d52a537ef52f4434fe0f29772dcaeb7a76,1964-09-04,REDACTED,942-888-9918x717,M
189b73d847b1,Melissa,Price,psaunders@example.org,2d0c32b216ee019b44fc8c84090dad32ab1041099e6ca8e0e0eafe31d0f42970,1996-10-14,REDACTED,001-629-925-8467,X
da2ef938433d,Erik,Olsen,ypage@example.org,b29124f2bd999bb20ffa7bcd62a517c2024e851e4e9cfe854e5de1f4f205eb7f,1955-10-27,REDACTED,780.704.4133x29020,X
09a1bf06592e,Jonathon,Lee,vasquezjames@example.org,43d3bbaa986aa167dc66623583f319fba4a1613ac5b7a9d981f70ff9a938f902,1983-07-12,REDACTED,+1-239-792-2890x66625,X
7c70f3613e68,Robert,Elliott,eric69@example.net,4a4851e5828bb9c1477102840d81a6d1b3f94ae2013cffd6c7b1e1f6b623c329,1957-04-16,REDACTED,886.911.8625,X
36f3836bd840,Katelyn,Wallace,masonsamantha@example.net,63a9780b0c9ad44e3412eb94939c70cc58c7a3dc639a31659d48e3504c0cc483,2004-06-24,REDACTED,274.718.1241,F
05e731ea9410,Robert,Elliott,isharp@example.net,86af3061eb95d2cfbcb81eb8613f0518126d7f9c1ef6ae9a4c8acf7977b89f4b,1950-05-22,REDACTED,+1-239-383-1007x7178,F
ec692b0c7868,Jennifer,Yates,garrettpamela@example.net,29aadbb52b871882cc3571440d7dfc24368476568f2be9a1e1f86db0ca4c2caa,1998-03-01,REDACTED,(518)359-9548x50023,X
1af76c2c7910,Justin,Klein,alvaradokayla@example.com,1cc74123a953340ca25dd519d6f9d20692d12f548789e82375ea75e19f077de0,1995-09-08,REDACTED,(201)837-5045x992,X
